hidden_size,learning_rate,epoch,train_loss,val_loss,val_accuracy
32,0.02,1,0.4882182408419866,0.2162124616128427,0.9333333333333333
32,0.02,2,0.1610352857008813,0.13394524410918907,0.9629629629629629
32,0.02,3,0.07029446026990338,0.1372336772856889,0.9851851851851852
32,0.02,4,0.05133043622213697,0.16543768644332885,0.9777777777777777
32,0.02,5,0.07468164003794156,0.13828203313880497,0.9851851851851852
32,0.02,6,0.04144514080077883,0.08393615787779843,0.9925925925925926
32,0.02,7,0.03569214545072071,0.15076461533705393,0.9851851851851852
32,0.02,8,0.04436859340658263,0.12306384052391406,0.9851851851851852
32,0.02,9,0.048013614481758504,0.08266205566900747,0.9777777777777777
32,0.02,10,0.040824061525719504,0.06127762860722012,0.9925925925925926
32,0.02,11,0.03257486242505293,0.23372247249439912,0.9777777777777777
32,0.02,12,0.03292212106716184,0.10201481503468973,0.9851851851851852
64,0.01,1,0.4025514178805881,0.2073221767390216,0.9629629629629629
64,0.01,2,0.09180688536356366,0.12397117051813338,0.9777777777777777
64,0.01,3,0.056666806955186146,0.1469372926486863,0.9777777777777777
64,0.01,4,0.05314882644526069,0.15736214651001823,0.9777777777777777
64,0.01,5,0.03284439521708659,0.12402067614926232,0.9851851851851852
64,0.01,6,0.02926522846784561,0.10826176857506788,0.9851851851851852
64,0.01,7,0.020841632017658818,0.10995537103326232,0.9851851851851852
64,0.01,8,0.020286013049975272,0.12252811519084153,0.9851851851851852
64,0.01,9,0.030991365414644992,0.14394625226656596,0.9851851851851852
64,0.01,10,0.04129616636487227,0.24573000934388903,0.9629629629629629
64,0.01,11,0.0337503086336674,0.1544118483033445,0.9851851851851852
64,0.01,12,0.050982048510322495,0.1843157075069569,0.9777777777777777
64,0.005,1,0.5797047845901004,0.19557832347022164,0.9333333333333333
64,0.005,2,0.11938202449135364,0.11477391410756994,0.9629629629629629
64,0.005,3,0.06774644137374938,0.08736193544334836,0.9777777777777777
64,0.005,4,0.04609545083746078,0.07868639959229363,0.9777777777777777
64,0.005,5,0.030632421208752526,0.10259627545321429,0.9777777777777777
64,0.005,6,0.03158181045677454,0.10147634628746245,0.9777777777777777
64,0.005,7,0.04138458736299996,0.0996772446014263,0.9851851851851852
64,0.005,8,0.022556293199932763,0.10372586007471438,0.9851851851851852
64,0.005,9,0.018177297003271562,0.10275602870517307,0.9777777777777777
64,0.005,10,0.019243848885572144,0.11226056529967873,0.9777777777777777
64,0.005,11,0.026890033181934128,0.09449682097744058,0.9777777777777777
64,0.005,12,0.013530340308826121,0.10174918704562717,0.9851851851851852
